Error Group,User Input Error Class,Main information from,Identifiable How?,sh:sourceConstraintComponent,sh:sourceShape,sh:detail - sh:sourceConstraintComponent,sh:detail - sh:sourceShape,sh:detail - sh:resultPath,res_id,res_type,prop_name,User message from,actual_type,actual_content
Link Target,LinkedResourceDoesNotExistProblem,message with context,"detail, is Link value, target id no rdf:type",sh:NodeConstraintComponent,onto specific,sh:ClassConstraintComponent,bn,api-shapes:linkValueHasTargetID,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,-,sh:detail - sh:value (IRI) - rdf:type,sh:detail - sh:value (IRI)
Link Target,LinkTargetTypeMismatchProblem,message with context,"detail, is Link value, target id has rdf:type",sh:NodeConstraintComponent,onto specific,sh:ClassConstraintComponent,bn,api-shapes:linkValueHasTargetID,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:detail - sh:resultMessage,sh:detail - sh:value (IRI) - rdf:type,sh:detail - sh:value (IRI)
Value Type,ValueTypeProblem,"message with detail, no value","detail, both constraint types, ends with class shape",sh:NodeConstraintComponent,onto specific,sh:ClassConstraintComponent,api-shapes:..._ClassShape,-,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:detail - sh:resultMessage,sh:value (IRI) - rdf:type,
Value Type,ValueTypeProblem,"message, with detail, no value","detail, with min count contraint (text value)",sh:NodeConstraintComponent,onto specific,sh:MinCountConstraintComponent,api-shapes:..._PropShape,knora-api:valueAsString / knora-api:textValueAsXml,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:detail - sh:resultMessage,,
Content,ContentRegexProblem,"message, with detail, with value","detail, sourceconstraintcomponent (wrong content)",sh:NodeConstraintComponent,onto specific,sh:PatternConstraintComponent,too diverse to be helpfull,too diverse to be helpfull,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:resultMessage,,sh:detail - sh:value (Literal)
Cardinality,NonExistentCardinalityProblem,sourceConstraintComponent,sourceConstraintComponent,dash:ClosedByTypesConstraintComponent,onto specific,,,,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,-,,
Cardinality,MaxCardinalityProblem,sourceConstraintComponent,sourceConstraintComponent,sh:MaxCountConstraintComponent,onto specific,,,,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:resultMessage,,
Cardinality,MinCardinalityProblem,sourceConstraintComponent,sourceConstraintComponent,sh:MinCountConstraintComponent,onto specific,,,,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:resultMessage,,
Content,ContentRegexProblem,"message, no detail, with value","sourceConstraintComponent, sourceShape (empty label)",sh:PatternConstraintComponent,api-shapes:rdfsLabel_Shape,,,,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:resultMessage,,sh:value (Literal)
Duplicate,DuplicateValueProblem,sourceConstraintComponent,sourceConstraintComponent,sh:SPARQLConstraintComponent,onto specific,,,,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,-,,sh:value (Literal or IRI)
File Value,FileValueProblem,"message, no detail, with value",property name,sh:MinCountConstraintComponent,onto specific,,,,sh:focusNode,sh:focusNode - rdf:type,sh:resultPath,sh:resultMessage,"",